id,type,sex,age,party,representation,position,state
platzeck,0,0,4,1,0,0,4
pofalla,0,0,4,0,0,0,10
praetorius,0,1,3,NA,5,0,3
tillich,0,0,4,0,0,0,13
hasselfeldt,0,1,3,0,0,1,2
kampeter,0,0,3,0,1,1,10
kapferer,0,0,3,3,1,1,9
kempf,0,0,4,NA,1,1,2
nemat,0,1,3,NA,1,1,10
reiche,0,1,2,0,1,1,4
roestel,0,1,3,2,1,1,13
schweitzer,0,0,3,3,1,1,3
grothus,0,0,3,NA,4,1,10
wodtke,0,0,NA,0,4,1,4
herntier,0,0,4,NA,4,1,4
kreuzberg,0,1,4,0,4,1,10
priggen,0,1,4,3,4,1,10
vassiliadis,0,1,3,1,2,1,10
scheidt,0,1,3,1,2,1,10
körzell,0,1,3,1,2,1,7
kaiser,0,1,3,NA,3,1,NA
weiger,0,1,5,NA,3,1,2
niebert,0,1,1,NA,3,1,NA
allmendinger,0,0,4,NA,5,1,3
matthes,0,1,3,NA,5,1,3
schellnhuber,0,1,5,NA,5,1,4
niebuhr,0,0,3,NA,5,1,15
wehrspohn,0,1,3,NA,5,1,14
lämmel,0,1,3,0,0,2,13
lenz,0,1,1,0,0,2,2
miersch,0,1,2,1,0,2,9
SPD,1,NA,NA,NA,NA,NA,NA
B90,1,NA,NA,NA,NA,NA,NA
Union,1,NA,NA,NA,NA,NA,NA
FDP,1,NA,NA,NA,NA,NA,NA
Deutsche Bahn,1,NA,NA,NA,NA,NA,NA
Hochschule für Technik und Wirtschaft,1,NA,NA,NA,NA,NA,NA
Agora Energiewende,1,NA,NA,NA,NA,NA,NA
Deutsches Rotes Kreuz,1,NA,NA,NA,NA,NA,NA
BDA,1,NA,NA,NA,NA,NA,NA
BDEW,1,NA,NA,NA,NA,NA,NA
BDI,1,NA,NA,NA,NA,NA,NA
Telekom,1,NA,NA,NA,NA,NA,NA
McKinsey,1,NA,NA,NA,NA,NA,NA
VKU,1,NA,NA,NA,NA,NA,NA
Stadtentwaesserung Dresden,1,NA,NA,NA,NA,NA,NA
EnBW,1,NA,NA,NA,NA,NA,NA
DIHT,1,NA,NA,NA,NA,NA,NA
Alba,1,NA,NA,NA,NA,NA,NA
Buirer fuer Buir,1,NA,NA,NA,NA,NA,NA
Gruene Zukunft Welzow,1,NA,NA,NA,NA,NA,NA
Netzwerk Berbaubeschaedigter,1,NA,NA,NA,NA,NA,NA
Spremberger Tuche,1,NA,NA,NA,NA,NA,NA
LEE NRW,1,NA,NA,NA,NA,NA,NA
IG BCE,1,NA,NA,NA,NA,NA,NA
Verdi,1,NA,NA,NA,NA,NA,NA
Eon,1,NA,NA,NA,NA,NA,NA
DGB,1,NA,NA,NA,NA,NA,NA
Greenpeace,1,NA,NA,NA,NA,NA,NA
BUND,1,NA,NA,NA,NA,NA,NA
DNR,1,NA,NA,NA,NA,NA,NA
Universität Zürich,1,NA,NA,NA,NA,NA,NA
WZB,1,NA,NA,NA,NA,NA,NA
Humboldt Universität,1,NA,NA,NA,NA,NA,NA
Öko Institut,1,NA,NA,NA,NA,NA,NA
Potsdam Institut für Klimafolgenforschung,1,NA,NA,NA,NA,NA,NA
Universtität Kiel,1,NA,NA,NA,NA,NA,NA
Frauenhofer Institut ,1,NA,NA,NA,NA,NA,NA
Marthin Luter Universität Halle,1,NA,NA,NA,NA,NA,NA
Kohlekommission,1,NA,NA,NA,NA,NA,NA
